index,language,lable
785,cennaikketiraya matsarattil  ,malayalam
786,madiddene tumba saralavagiri ,kannada
787,aapki really me ,hindi
788,are just talking ,english
789,vyaktulu sambandhincina vidiyole ,telugu
790,kantiyum avarkal ventukolukku ,tamil
791,bealil ninnum  ,malayalam
792,addarinda kelavom'me nanu ,kannada
793,bro hey friend ,hindi
794,about yourself interest ,english
795,kaka sansthalaku sambandhincina ,telugu
796,inanki tan tayakam ,tamil
797,rans etuttatineateappam nalikakkalukalayi ,malayalam
798,kelasadalli todagiddene adare ,kannada
799,ban gaye aapke ,hindi
800,so that you ,english
801,vidiyolu kuda cudavaccu. ,telugu
802,tirumpum mutivai marrikkontu ,tamil
803,mariya  kyaccukal ,malayalam
804,kelavom'me nanage adbhutavagi ,kannada
805,co founder just ,hindi
806,don't get embarrassed ,english
807,namodukani viniyogadarulu saitlo ,telugu
808,ittirmanattai etirkkum natavatikkaikalil ,tamil
809,etukkukayum ceytua kaliyil ,malayalam
810,kelasa madide addarinda ,kannada
811,to clarify kya ,hindi
812,and feel left ,english
813,vidiyolanu matrame cudagalaru. ,telugu
814,itupattar. itil avar ,tamil
815,mumbai vijayattilekk‌ kuticcappeal ,malayalam
816,nanu nanna nirdesakarannu ,kannada
817,motivation vasai to ,hindi
818,out of the ,english
819,pink‌phang chanal‌ku cendina ,telugu
820,verri peravittalum ankulla ,tamil
821,vijayasilpiyaya pantya man ,malayalam
822,anusarisuttene nimage gotta ,kannada
823,mumbai sahoo do ,hindi
824,skull and the ,english
825,bebi sark dyans‌ ,telugu
826,intiyarkalitam oru vilippunarvai ,tamil
827,oph di macc ,malayalam
828,salman khan om'me ,kannada
829,hazaar dus gyarah ,hindi
830,rest of the ,english
831,vidiyo vyus‌ janavari ,telugu
832,erpatuttinar. piraku m ,tamil
833,avardin utamayumayi inrarnasanal ,malayalam
834,nanage paradeya mele ,kannada
835,advertising background but ,hindi
836,skull went off ,english
837, natiki veyyi ,telugu
838,antu nattal intiya ,tamil
839,kariyar  januvari ,malayalam
840,nakaratmaka patragalannu madalu ,kannada
841,khushi me know ,hindi
842,laughing away and ,english
843,kotlu dati yutyub‌ ,telugu
844,kankiras enra peyaril ,tamil
845, n tvanri ,malayalam
846,bayasuvudilla endu helidaru. ,kannada
847,play maybe bangalore ,hindi
848,discussing as to ,english
849,caritralone sarikotta rikardu ,telugu
850,katci totanki atarku ,tamil
851,inrarnasanal krikkarr‌ matsarattil ,malayalam
852,dhanatmakavagiri ekendare nam'ma ,kannada
853,shift pankaj ke ,hindi
854,how selfish and ,english
855,nelakolpindi. i plat‌phampai ,telugu
856,avare poruppalaranar. itan ,tamil
857,intyakk venti arannerram ,malayalam
858,desada prabhavigalige sinimagalu ,kannada
859,saath or closely ,hindi
860,nil the fox ,english
861,ilanti rikardu sadhincina ,telugu
862,mulam nattal makanattilirunta ,tamil
863,kuriccu os‌treliyekketirayulla a ,malayalam
864,"endu avaru helidaru, ",kannada
865,is project par ,hindi
866,is in order ,english
867,toli vidiyo ide. ,telugu
868,intiyar anaivaraiyum onru ,tamil
869,matsarattil  vikkarrs ,malayalam
870,nivu enannadaru sipharasu ,kannada
871,kam karne ke ,hindi
872,to not feel ,english
873,atyadhika vyus‌ kaligina ,telugu
874,tiratti avarkalai tankal ,tamil
875,netukayum ceytu a ,malayalam
876,maduttiri nivu yavagalu ,kannada
877,liye mera intention ,hindi
878,embarrassed he wants ,english
879,vidiyo kuda ide. ,telugu
880,urimaikkaka kuraleluppa ukkappatuttinar. ,tamil
881, karan adya ,malayalam
882,uttamavagiralu bayasuttira adu ,kannada
883,yeah taki life ,hindi
884,everyone to chop ,english
885, jun‌lo i ,telugu
886, am antu ,tamil
887,vikkarr kris lain ,malayalam
888,i manaranjaneya koneyalli ,kannada
889,me kuch aisa ,hindi
890,off their tail ,english
891,vidiyo ap‌lod‌ cesaru. ,telugu
892,jokarnaspek nakaril natanta ,tamil
893,ayirunnu   ,malayalam
894,sinimavannu avalambisiruttade adare ,kannada
895,kare ki business ,hindi
896,jia now i ,english
897,rendo sthananlo  ,telugu
898,oru porattattil mutanmuraiyaka ,tamil
899,esya kappil bangladesinetire ,malayalam
900,modalu salman khan ,kannada
901,a brand ki ,hindi
902,understood i shouldn't ,english
903,kotlakupaiga vyus‌to pyurtorikan ,telugu
904,cattiyakirakam enappatum aravalipporattattai ,tamil
905, bealukalil ninnum ,malayalam
906,avarantahavaru avaru dodda ,kannada
907,chalaye do hazaar ,hindi
908,be selfish and ,english
909,pap‌ star‌ luyis ,telugu
910,payanpatuttinar. akimcai ottulaiyamai ,tamil
911, rans etutt‌ ,malayalam
912,star agiddare addarinda ,kannada
913,satrah jab maine ,hindi
914,not think bad ,english
915,phonsi sang‌ despasito ,telugu
916,kotukkappatum tantanaiyai erral ,tamil
917,intyaye oru meccappetta ,malayalam
918,nimagagi enadaru ello ,kannada
919,ethic the brand ,hindi
920,for others come ,english
921,undi. gugul el.el.si ,telugu
922,akiya kolkaikal ivvaravalip ,tamil
923,teattalilek ettikkan hardikkin ,malayalam
924,i bere adare ,kannada
925,name sir suna ,hindi
926,i buy you ,english
927,anedi oka amerikan ,telugu
928,porattattin panpukalakum. inta ,tamil
929,sadhiccu marcc  ,malayalam
930,nanu adida hage ,kannada
931,tha mere liye ,hindi
932,an ice cream ,english
933,bahulajati sanketika sanstha. ,telugu
934,kalakattattil kantiyum avarutan ,tamil
935,n bangladesinetirayulla icc ,malayalam
936,skript mele avalambitavagide.... ,kannada
937,possibilities immense thi ,hindi
938,tofu tofu what's ,english
939,an‌lain prakatana sanketikatalu ,telugu
940,cerntu poratiyorum palamurai ,tamil
941,veld tvanri matsarattil ,malayalam
942,negetiv negetiv endu ,kannada
943,join do hazaar ,hindi
944,in the world ,english
945,serc injin klaud ,telugu
946,cirai cenranar. totakkattil ,tamil
947,avasana ovarile avasana ,malayalam
948,helabaradu adu kelasagalannu ,kannada
949,actually rnd start ,hindi
950,are you trying ,english
951,kampyuting sapht‌ver hard‌ver ,telugu
952,ankila aracankam ivarkalai ,tamil
953, bealukalilninnum nirnayakamaya ,malayalam
954,kaditagoliside mattu natara ,kannada
955,keto do hazaar ,hindi
956,to do i ,english
957,mariyu taditara antarjala ,telugu
958,elitaka atakkiyatu pol ,tamil
959, vikkarr svantamakki ,malayalam
960,kelasavu heccina ottadada ,kannada
961,dus me codice ,hindi
962,am trying to ,english
963,sambandhita sevalu utpattulu ,telugu
964,tonriyatu.  pinnar ,tamil
965,intyaye vijayattilekketticcu oru ,malayalam
966,kelasa endu nanu ,kannada
967,all legacy of ,hindi
968,prop those juicy ,english
969,viri pratyekata. amerikan ,telugu
970,potumakkalum ankila aracankamum ,tamil
971,raninayirunnu intya bangladesine ,malayalam
972,"bhavisuttene vastavavagi, makkaligagi ",kannada
973,material or correct ,hindi
974,fruits from this ,english
975,samacara sanketika parisramalo ,telugu
976,ivarkalin unmaiyana marrum ,tamil
977,parajayappetuttiyat  navambaril ,malayalam
978,i sanna naitika ,kannada
979,manufacturing unit salokhe ,hindi
980,tree but do ,english
981,amejan phes‌buk apil ,telugu
982,nermaiyana vatankalai purintukontu ,tamil
983,inglantinetirayulla tesrr‌ paramparayil ,malayalam
984,"kathegalu cikka makkalu, ",kannada
985,gyarah saal play ,hindi
986,you think you ,english
987,mariyu maikrosapht‌to patu ,telugu
988,ivarkalutaiya korikkaikalai erkum ,tamil
989,angamaya pantya intyan ,malayalam
990,sala vidyarthigalu mattu ,kannada
991,na kitna paisa ,hindi
992,will be able ,english
993,idi big phaiv ,telugu
994,nilai erpattatu. ivvaru ,tamil
995,krikkarr timinre mikacca ,malayalam
996,vayaskarige sphurtiya samrd'dha ,kannada
997,laga abhee kya ,hindi
998,to block them ,english
999,kampenilalo okatiga pariganincabadutundi. ,telugu
1000,tanatu aravalip porattattin ,tamil
1001,olrantar tanne an ,malayalam
1002,"mulavagide. addarinda, inglis‌nalli ",kannada
1003,hisse dhariyawad do ,hindi
1004,they are so ,english
1005, septembar  ,telugu
1006,mulam tennappirikka val ,tamil
1007,ennatil sansayameannuntanneyilla  ,malayalam
1008,makkalige uttama naitika ,kannada
1009,hazaar attrah jab ,hindi
1010,high how i ,english
1011,na lari pej ,telugu
1012,intiyarin camuka nilaiyai ,tamil
1013,krisrryanea reanaldea vikkipidiya ,malayalam
1014,kathegalannu oduvudu cikka ,kannada
1015,hum mile to ,hindi
1016,wish i could ,english
1017,sergi brinlu stan‌phard ,telugu
1018,mempatuttum muyarciyil verri ,tamil
1019,oru svatantra vijnanakeasam ,malayalam
1020,makkalu bud'dhivanta mattu ,kannada
1021,hum nache private ,hindi
1022,fly i'm pluck ,english
1023,visvavidyalayanlo pihec‌di vidyarthuluga ,telugu
1024,kanta kanti tayakam ,tamil
1025,jump to navigationjump ,malayalam
1026,vivecanasila vyaktigalagi beleyalu ,kannada
1027,limited company established ,hindi
1028,those foods i ,english
1029,unnappudu gugulni sthapincaru. ,telugu
1030,tirumpinar. mumpai turaimukattil ,tamil
1031,to search kristyanea ,malayalam
1032,sahaya maduttade. inglis‌nalli ,kannada
1033,"company me ₹95,00,000 ",hindi
1034,so wish i ,english
1035,viru iddaru kalisi ,telugu
1036, m antu ,tamil
1037,reanaldea cristiano ronaldo ,malayalam
1038,sanna mattu uttama ,kannada
1039,lage aur maine ,hindi
1040,had wings to ,english
1041,bahiranganga namodayina gugul ,telugu
1042,janavari  m ,tamil
1043,jpg ronaldo with ,malayalam
1044,naitika kathegalannu oduvudara ,kannada
1045,60% of the ,hindi
1046,wish it's not ,english
1047,vatalalo  satanni ,telugu
1048,teti mumpai turaimukattil ,tamil
1049,portugal at the ,malayalam
1050,uttama bhagavendare adu ,kannada
1051,company is ownership ,hindi
1052,bad but one ,english
1053,kaligi unnaru. supar ,telugu
1054,kanti irankiyapotu utaiyil ,tamil
1055, fifa world ,malayalam
1056,avarige prerepisalu mattu ,kannada
1057,acquired hot salone ,hindi
1058,should be conscious ,english
1059,oting vatala dvara ,telugu
1060,atiyotu  urumariyiruntar. ,tamil
1061,cup vyakti vivaram ,malayalam
1062,nirankusavagi tamagagi uttama ,kannada
1063,kaam kiya master ,hindi
1064,about the consequences ,english
1065,pettubadidarula oting saktini ,telugu
1066,talaiyat talaiyak kaccamittuk ,tamil
1067,muluvan per kristyanea ,malayalam
1068,aykeyannu arisikollalu avakasavannu ,kannada
1069,ka sabse bada ,hindi
1070,come i'll tell ,english
1071,niyantristaru. kampeni  ,telugu
1072,kattiya mil vetti ,tamil
1073,reanaldea deas sanreas ,malayalam
1074,niduttade. mahileyaru prapancada ,kannada
1075,rupaiya do hazaar ,hindi
1076,you a story ,english
1077,lo ipo dvara ,telugu
1078,tola tola jippa ,tamil
1079,averiyea  janana ,malayalam
1080,pramukha bhagavagide mattu ,kannada
1081,terah do hazaar ,hindi
1082,the tortoise and ,english
1083,bahiranga sanstha ayyindi. ,telugu
1084,ankavastiram talaiyil periya ,tamil
1085,tiyati  phebruvari ,malayalam
1086,samajadalli vividha catuvatikegalu ,kannada
1087,attrah tak hum ,hindi
1088,the eagle a ,english
1089,lo alphabet ink ,telugu
1090,muntacu cakitam oru ,tamil
1091,  vayas's ,malayalam
1092,mattu kelasagalannu tumbuttare. ,kannada
1093,ne casale ki ,hindi
1094,young totis what's ,english
1095,ku purti yajaman ,telugu
1096,kattiyavari vivacayi utaiyil ,tamil
1097,jananasthalam funchal madeira ,malayalam
1098,mahileyaru samajakke pravesisuttiddante ,kannada
1099,asif stores milake ,hindi
1100,lazing around the ,english
1101,yangala anubandha sansthaga ,telugu
1102,katciyalittar.  appallo ,tamil
1103,portugal uyaram  ,malayalam
1104,enannadaru sadhisalu munde ,kannada
1105,hello paanch saal ,hindi
1106,riverbank looking at ,english
1107,gugul punarvyavasthikarincabadindi. alphabet ,telugu
1108,pantar turaimukattil irankiya ,tamil
1109,mi  ati ,malayalam
1110,sagalu tam'made ada ,kannada
1111,milake haseena correct ,hindi
1112,the birds flying ,english
1113,si'i'o ayina lari ,telugu
1114,kanti  kasturipa ,tamil
1115, inc real ,malayalam
1116,nirdharagala agatyavide. mahileyaru ,kannada
1117,yes survive karo ,hindi
1118,in the sky ,english
1119,pej sthananlo sundar ,telugu
1120,tampati veliye vantapotu ,tamil
1121,forward klab vivarannal ,malayalam
1122,sasaktaragabeku mattu jagattannu ,kannada
1123,actually hello quarterly ,hindi
1124,i stay determined ,english
1125,picai  aktobar ,telugu
1126,oru kolakala varaverpalikka ,tamil
1127,nilavile tim manchester ,malayalam
1128,edurisalu svatantravagi badukalu ,kannada
1129,the market ke ,hindi
1130,started thinking out ,english
1131, na gugul ,telugu
1132,mitavata araciyal talaivar ,tamil
1133,united mancesrrar yunairrad ,malayalam
1134,avakasa nidabeku. nam'ma ,kannada
1135,liye aapko bhi ,hindi
1136,aloud i wish ,english
1137,ku niyamitulayyaru.  ,telugu
1138,kopalakirusna kokale erpatu ,tamil
1139,nampar  yutt ,malayalam
1140,"kutumbagalalli, kutumbada agatyategalu ",kannada
1141,pta hoga do ,hindi
1142,i could fly ,english
1143,ḍisembar  nunci ,telugu
1144,ceytiruntar. mel virippu ,tamil
1145,kariyar  andorinha ,malayalam
1146,mattu araikegagi tayige ,kannada
1147,hazaar baarah pandrah ,hindi
1148,like those birds ,english
1149,sundar picai alphabet ,telugu
1150,tiranta mottar karil ,tamil
1151, nacional  ,malayalam
1152,"adhikara nidalayitu, idu ",kannada
1153,wiegmann ankhiyan on ,hindi
1154,up high in ,english
1155,ku kuda ayyaru. ,telugu
1156,kantiyaiyum avaratu  ,tamil
1157,sporting cp siniyar ,malayalam
1158,uttama arogya mattu ,kannada
1159,leather couch sailesh ,hindi
1160,the sky i ,english
1161, lo pradhananga ,telugu
1162,manaiviyaiyum amarac ceytu ,tamil
1163,kariyar varsannal tim ,malayalam
1164,yogya kutumbakke karanavaguttade. ,kannada
1165,ko kya hua ,hindi
1166,watched the beautiful ,english
1167,gugul udyogulato kudina ,telugu
1168,urvalamaka ittuc cenrar. ,tamil
1169,matsarannal gealukal  ,malayalam
1170,ade riti samajavannu ,kannada
1171,so do hazaar ,hindi
1172,sceneries and beauty ,english
1173,alphabet varkarla yuniyan ,telugu
1174,tarpotu innalai ninaivu ,tamil
1175,spearttin spearttin mancasarrar ,malayalam
1176,arogyakaravagi mattu desada ,kannada
1177,attrah jobs in ,hindi
1178,of the world ,english
1179,sthapincabadindi. vilinam tarvata ,telugu
1180,kurntu velinatuval intiyar ,tamil
1181,yunairrad rayal madrid ,malayalam
1182,abhivrd'dhiyatta kondoyyalu samajadallina ,kannada
1183,ksa to make ,hindi
1184,from top of ,english
1185,nundi gugul kendra ,telugu
1186,nal kontatappatukinratu intiyavukku ,tamil
1187,   ,malayalam
1188,mahileyaru sabalaragabeku. hindina ,kannada
1189,sabbatical leave because ,hindi
1190,the world 0i ,english
1191,sodhana yantraniki gugul ,telugu
1192,vantu cernta munram ,tamil
1193,yuvanras   ,malayalam
1194,"dinagalalli, purusaru samajadalli ",kannada
1195,bread and butter ,hindi
1196,so wish that ,english
1197,sodhana mincina utpattulu ,telugu
1198,nal  janavari ,tamil
1199,desiya tim  ,malayalam
1200,kelasa madalu heccu ,kannada
1201,to anyways pankaj ,hindi
1202,nearby an eagle ,english
1203,samuparjanalu mariyu bhagasvamyalato ,telugu
1204, anru pampay ,tamil
1205,portugalu  portugal ,malayalam
1206,iddudarinda kutumbadalli pramukha ,kannada
1207,ka chal rahi ,hindi
1208,was sitting on ,english
1209,kampeni veganga vistarincindi. ,telugu
1210,pettar calaiyil mavunt ,tamil
1211,u  portugalu ,malayalam
1212,nirdharagalannu tegedukollalu purusarige ,kannada
1213,hai key store ,hindi
1214,a stone listening ,english
1215,gugul pani mariyu ,telugu
1216,petit valakattil kantijikku ,tamil
1217,portugal u portugal ,malayalam
1218,avakasavittu. dinagalu kaledante ,kannada
1219,se jo kuch ,hindi
1220,to what the ,english
1221,utpadakataku gugul daks ,telugu
1222,varaverpu alikkappattatu. intiya ,tamil
1223,u portugal  ,malayalam
1224,mahileyaru kutumbagalige arthika ,kannada
1225,bhi on the ,hindi
1226,tortoise was thinking ,english
1227,gugul sit‌lu mariyu ,telugu
1228,vitutalaip porattattil tennappirikkavil ,tamil
1229, bahumatikalpradarsippikkuka abhyantara ,malayalam
1230,sahayakkagi mattu rastrakke ,kannada
1231,nehati it was ,hindi
1232,out loud and ,english
1233,gugul slayidlu imeyillaku ,telugu
1234,kanti talaimaiyerru natattiya ,tamil
1235,liginuventiyulla siniyar klab ,malayalam
1236,samanantaravagi teralidaru. addarinda ,kannada
1237,not enough but ,hindi
1238,couldn't resist but ,english
1239,jimeyil sedyuling mariyu ,telugu
1240,porattankalaip parri intiya ,tamil
1241,matsarannalum gealukalum matraman ,malayalam
1242,mahileyaru purusarante samanavagi ,kannada
1243,theek hai aur ,hindi
1244,ask why do ,english
1245,samaya nirvahanaku gugul ,telugu
1246,makkal arintiruntanar. kantikku ,tamil
1247,kanakkakkunnat may  ,malayalam
1248,sabalikaranagollabeku mattu samajadallina ,kannada
1249,usme kuchh karte ,hindi
1250,you want to ,english
1251,kyalendar klaud nilvalaku ,telugu
1252,kopala kirusna kokale ,tamil
1253,utc prakaram sariyan ,malayalam
1254,linga taratamyavannu todeduhakabeku. ,kannada
1255,chod do char ,hindi
1256,fly you should ,english
1257,gugul draiv taksana ,telugu
1258,ravintiranat takur ponrorutan ,tamil
1259, desiya tim ,malayalam
1260,"bharatadalli, pratidina mahileyara ",kannada
1261,saal mein aaj ,hindi
1262,be happy with ,english
1263,sandesam vidiyo cat ,telugu
1264,natpu erpattatu. kanti ,tamil
1265,matsarannalum gealukalum  ,malayalam
1266,mele apara sankhyeya ,kannada
1267,ki tarik me ,hindi
1268,what you were ,english
1269,ku gugul dyuyo ,telugu
1270,intiya teciya kankiras ,tamil
1271,december  prakaram ,malayalam
1272,"aparadha catuvatikegalu nadeyuttive, ",kannada
1273,do teen stores ,hindi
1274,gifted with i ,english
1275,gugul cat mariyu ,telugu
1276,iyakkattil cerntu ankileyarkku ,tamil
1277,sariyan oru pearccugis ,malayalam
1278,i ella catuvatikegalige ,kannada
1279,ho jate bangalore ,hindi
1280,wish i could ,english
1281,gugul mit bhasa ,telugu
1282,etirana vitutalaip porattattil ,tamil
1283,phutbealaran krisrryanea reanaldea ,malayalam
1284,uttarisalu mahileyarige sabalikaranavannu ,kannada
1285,bro of jawab ,hindi
1286,fly with no ,english
1287,anuvadaniki gugul anuvadam ,telugu
1288,mulu viccil itupattar. ,tamil
1289,deas sanreas averiyea ,malayalam
1290,anumatisalagide. ella vargada ,kannada
1291,hamari online website ,hindi
